SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905971,HCC2998,NSMCE2,normal,      -1.007
905971,HCC2998,TFPI,normal,      -1.059
905971,HCC2998,OR52N4,normal,      -0.850
905971,HCC2998,ZNF93,normal,      -1.307
905971,HCC2998,TJP1,normal,       0.601
905971,HCC2998,HABP4,normal,      -0.504
905971,HCC2998,EPN2,normal,       0.097
905971,HCC2998,TULP2,normal,      -0.113
905971,HCC2998,ANKRD40,normal,      -0.586
905971,HCC2998,MS4A1_ENST00000345732,normal,       0.360
905971,HCC2998,CP,normal,      -0.788
905971,HCC2998,ADIPOR2,normal,       1.914
905971,HCC2998,MEIG1,normal,       1.742
905971,HCC2998,B9D2,under,      -2.489
905971,HCC2998,PDE7B,normal,      -0.779
905971,HCC2998,LAPTM4B,normal,      -0.372
905971,HCC2998,HIST1H2AG,normal,       1.796
905971,HCC2998,SLC29A1,normal,       0.014
905971,HCC2998,ENOPH1,normal,       1.900
905971,HCC2998,SFXN2,normal,      -0.748
905971,HCC2998,ABCA2,normal,      -1.869
905971,HCC2998,C5orf47,normal,       0.392
905971,HCC2998,HMGCL,normal,       0.739
905971,HCC2998,PCMT1,normal,       0.422
905971,HCC2998,ACTR8,normal,      -0.425
905971,HCC2998,SLPI,normal,       1.182
905971,HCC2998,CDH23,normal,      -0.987
905971,HCC2998,SEC62,normal,      -0.214
905971,HCC2998,RLIM,normal,      -0.513
905971,HCC2998,SLC2A6,normal,      -0.350
905971,HCC2998,SH3D21,normal,       0.236
905971,HCC2998,NUPR1,normal,       0.196
905971,HCC2998,KRT6A,normal,      -0.133
905971,HCC2998,CYP2R1,normal,       1.176
905971,HCC2998,WDR7,normal,      -0.059
905971,HCC2998,COTL1,normal,      -0.529
905971,HCC2998,ZNF177,normal,      -1.693
905971,HCC2998,TECTB,normal,      -0.801
905971,HCC2998,CHN1,normal,      -1.673
905971,HCC2998,BVES,normal,      -1.301
905971,HCC2998,IL17C,normal,       0.210
905971,HCC2998,LCMT1,normal,       0.305
905971,HCC2998,RASGEF1C,normal,      -0.078
905971,HCC2998,YWHAG,normal,       0.720
905971,HCC2998,TRIM10,normal,       1.898
905971,HCC2998,PIR,normal,       0.468
905971,HCC2998,SSX2IP,normal,      -0.475
905971,HCC2998,PUS10,normal,      -0.188
905971,HCC2998,SV2B,normal,      -1.279
905971,HCC2998,INSL5,normal,       0.066
905971,HCC2998,TMEM237,normal,       0.052
905971,HCC2998,ANKRD26,normal,       1.040
905971,HCC2998,RASA3,normal,      -0.459
905971,HCC2998,FLAD1,normal,       1.340
905971,HCC2998,C10orf131,normal,      -0.528
905971,HCC2998,PDXDC1,normal,       0.979
905971,HCC2998,MTMR8,normal,      -0.052
905971,HCC2998,ASB9,normal,      -1.010
905971,HCC2998,SH3BGRL3,normal,       0.470
905971,HCC2998,ZNF597,normal,       0.101
905971,HCC2998,ASS1,normal,       1.009
905971,HCC2998,UBE3A,normal,       1.080
905971,HCC2998,CAMKMT,normal,      -0.268
905971,HCC2998,NAALADL2,normal,       0.570
905971,HCC2998,SCARA5,normal,       0.461
905971,HCC2998,SIAH2,normal,      -0.194
905971,HCC2998,TRIM15,over,       2.127
905971,HCC2998,NAV1,normal,      -0.193
905971,HCC2998,PKDCC,normal,       0.944
905971,HCC2998,DNAJC15,normal,      -0.345
905971,HCC2998,MFHAS1,normal,      -0.242
