SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905984,SF539,GAS8-AS1,normal,      -0.563
905984,SF539,UTP23,normal,       0.110
905984,SF539,KLK14,normal,      -1.067
905984,SF539,SNRPA1,normal,      -0.827
905984,SF539,CES5A,normal,      -1.035
905984,SF539,ARCN1,normal,       0.147
905984,SF539,TTC21B,normal,       0.482
905984,SF539,ARRB2,normal,      -0.857
905984,SF539,HIST1H1A,normal,      -0.024
905984,SF539,SYNJ1,normal,       0.750
905984,SF539,PDE4D,normal,      -0.346
905984,SF539,TMEM248,over,       2.594
905984,SF539,COQ9,normal,      -0.106
905984,SF539,GPR152,normal,      -1.727
905984,SF539,COG6,normal,       1.463
905984,SF539,IL12A,normal,      -0.089
905984,SF539,PPP1R3C,normal,       1.184
905984,SF539,CTIF,normal,       0.551
905984,SF539,PLCH2,normal,       0.947
905984,SF539,TBL1X,normal,      -0.338
905984,SF539,CHPT1,normal,       0.035
905984,SF539,FRMPD4,normal,      -0.648
905984,SF539,SLC25A19,normal,      -1.804
905984,SF539,SLC10A6,normal,       0.020
905984,SF539,HLA-DRB1,normal,      -0.817
905984,SF539,TEX37,normal,       0.762
905984,SF539,SCT,normal,      -0.542
905984,SF539,ZMYM2,normal,       0.076
905984,SF539,GATD1,normal,      -1.037
905984,SF539,VAV3,normal,      -0.355
905984,SF539,GRWD1,normal,      -0.570
905984,SF539,ACADSB,under,      -2.313
905984,SF539,AGTPBP1,normal,      -0.961
905984,SF539,AHCYL1,normal,       0.896
905984,SF539,CTAG2,normal,      -0.094
905984,SF539,USP30,normal,       0.048
905984,SF539,COA1,normal,       0.518
905984,SF539,RAB3D,normal,      -0.605
905984,SF539,POLL,normal,      -0.810
905984,SF539,YTHDF1,normal,      -1.074
905984,SF539,INO80D,normal,      -0.946
905984,SF539,SUPT20H,normal,       0.515
905984,SF539,ARHGEF10L,normal,       1.261
905984,SF539,MDM4,normal,       0.053
905984,SF539,PLA2G15,normal,       0.989
905984,SF539,LRRC69,normal,      -1.861
905984,SF539,FHAD1,normal,      -0.615
905984,SF539,SH2B1,normal,       0.960
905984,SF539,CROCC,normal,       0.218
905984,SF539,ATP5IF1_ENST00000497986,normal,      -0.561
905984,SF539,GFI1,normal,       0.257
905984,SF539,GPR158,normal,      -0.052
905984,SF539,DSCC1,normal,      -0.351
905984,SF539,TPI1,normal,       0.534
905984,SF539,SMCP,normal,      -0.690
905984,SF539,SGCZ,normal,      -0.331
905984,SF539,RBL1,normal,       0.771
905984,SF539,NAALAD2,normal,       0.014
905984,SF539,RELT,normal,      -0.882
905984,SF539,HMGN1,normal,      -1.327
905984,SF539,NEU3,normal,      -0.372
905984,SF539,SRRD,normal,       0.027
905984,SF539,SETMAR,normal,      -0.983
905984,SF539,TUBGCP4,normal,      -0.445
905984,SF539,MANBA,normal,       0.684
905984,SF539,MID1IP1,normal,      -1.150
905984,SF539,RANBP3,normal,      -0.687
905984,SF539,CCDC78,normal,      -0.440
905984,SF539,UBC,normal,       0.753
905984,SF539,SNX10,normal,      -0.323
905984,SF539,SULT6B1,normal,      -0.740
905984,SF539,HSPBP1,normal,      -1.093
905984,SF539,CLIC4,normal,       0.994
905984,SF539,EIF5A2,normal,       1.635
905984,SF539,SLITRK2,normal,      -0.958
905984,SF539,OR7G3,normal,       0.279
905984,SF539,ATG13,normal,       0.054
905984,SF539,EXOSC9,normal,      -0.252
905984,SF539,NMUR2,normal,      -0.884
905984,SF539,TMEM116,normal,      -0.159
905984,SF539,TXN2,normal,      -0.238
905984,SF539,SSX2IP,normal,      -0.003
905984,SF539,ROCK2,normal,       1.850
905984,SF539,MAGI3,normal,       0.835
905984,SF539,ATMIN,normal,      -0.561
905984,SF539,ULK4,normal,      -0.877
905984,SF539,OR5M11,normal,       0.262
905984,SF539,MAL,normal,       1.238
905984,SF539,RPL23,under,      -2.973
905984,SF539,BRAF,normal,      -0.381
905984,SF539,GART,normal,      -1.186
905984,SF539,RFNG,normal,       0.511
905984,SF539,LLCFC1,normal,       0.243
905984,SF539,C2orf40,normal,       0.552
905984,SF539,COL18A1,normal,       0.109
905984,SF539,ZNF527,normal,       0.892
905984,SF539,CLN8,normal,       0.867
905984,SF539,C7,normal,      -1.828
905984,SF539,ROBO3,normal,       0.144
905984,SF539,DENND2C,normal,      -0.004
905984,SF539,DCBLD2,normal,       0.615
905984,SF539,AGTR2,normal,      -1.615
905984,SF539,NR0B2,normal,      -1.856
905984,SF539,CHD1L,normal,       0.021
905984,SF539,KDM5A,normal,      -0.287
905984,SF539,LGALS12,normal,      -1.582
905984,SF539,DEFB127,normal,      -0.185
905984,SF539,SOSTDC1,normal,      -0.675
905984,SF539,KCNS2,normal,      -0.493
905984,SF539,CCDC168,normal,      -0.476
905984,SF539,NR5A1,normal,       0.514
905984,SF539,POLDIP2,normal,      -1.186
905984,SF539,TRMT44,normal,       0.402
905984,SF539,KLHDC2,normal,      -0.351
905984,SF539,CHD6,normal,       0.488
905984,SF539,MTMR1,normal,      -0.254
905984,SF539,OR2H2,normal,       0.770
905984,SF539,CCNA2,normal,       0.066
905984,SF539,TPTE,normal,       0.203
905984,SF539,PRMT6,normal,       0.027
905984,SF539,OASL,normal,       1.273
905984,SF539,FAM178B,under,      -2.566
905984,SF539,KRT74,normal,       0.454
905984,SF539,TALDO1,normal,      -0.588
905984,SF539,GKN2,normal,       0.841
905984,SF539,ARHGAP27,normal,      -1.080
905984,SF539,RAPGEF4,normal,      -0.837
905984,SF539,FAM114A2,normal,       1.335
905984,SF539,ZNF77,normal,      -0.477
905984,SF539,TRIAP1,normal,      -1.374
905984,SF539,RPL38,under,      -2.498
905984,SF539,ZFPL1,normal,       0.545
905984,SF539,IDS,normal,       0.416
905984,SF539,SERP1,normal,       0.818
905984,SF539,SNX20,normal,      -0.537
905984,SF539,SEC63,normal,      -0.441
905984,SF539,CRKL,normal,      -0.656
905984,SF539,ISLR,normal,       0.933
905984,SF539,NXPH2,normal,       0.572
905984,SF539,RPH3A,normal,       0.324
905984,SF539,UBXN7,normal,       0.989
905984,SF539,SELL,normal,      -0.016
905984,SF539,FRMD7,normal,      -0.332
905984,SF539,NPTX1,normal,      -0.806
905984,SF539,GRIK1,normal,      -0.132
905984,SF539,DCUN1D1,normal,       1.296
905984,SF539,NEFM,normal,      -0.434
905984,SF539,QPRT,normal,       0.667
905984,SF539,STARD4,normal,       1.929
905984,SF539,LYG1,normal,       0.854
905984,SF539,INSL6,normal,      -0.761
905984,SF539,SLC27A4,normal,       0.102
905984,SF539,HMGB2,normal,      -0.673
905984,SF539,KRTAP12-3,normal,      -0.490
905984,SF539,CLINT1,normal,       0.895
905984,SF539,CUX2,normal,      -0.181
905984,SF539,NARS,normal,      -1.607
905984,SF539,PSMG2,normal,      -1.739
905984,SF539,PAICS,normal,      -1.305
905984,SF539,TNF,normal,      -0.523
905984,SF539,TCF19,normal,       1.592
905984,SF539,ADM5,normal,      -0.919
905984,SF539,SCARB2,normal,       1.675
905984,SF539,DCAF12L1,normal,       0.381
905984,SF539,VAV1,normal,      -0.271
905984,SF539,TMEM145,normal,       0.520
905984,SF539,FUBP3,normal,      -0.319
905984,SF539,TNS2_ENST00000546602,normal,       1.218
905984,SF539,ACOT11,normal,       0.098
905984,SF539,OR4C16,normal,       0.329
905984,SF539,ABHD16B,normal,      -0.022
905984,SF539,OR56B1,normal,       0.875
905984,SF539,PCED1A,normal,      -0.756
905984,SF539,HTR7,normal,       0.405
