SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1899927,TCGA-BH-A0E9-01,PPARG,normal,       0.152,414
2120449,TCGA-BP-4166-01,PPARG,normal,      -0.519,416
2385796,TCGA-QK-A6VB-01,PPARG,normal,      -0.554,627
2193367,TCGA-FU-A57G-01,PPARG,normal,      -0.265,415
1899939,TCGA-BH-A0HA-01,PPARG,normal,      -0.295,414
2120506,TCGA-CJ-4874-01,PPARG,normal,      -0.215,416
2340128,TCGA-GU-AATQ-01,PPARG,normal,      -0.832,413
2195124,TCGA-77-7141-01,PPARG,normal,       0.623,418
1779962,TCGA-BP-5198-01,PPARG,normal,      -0.615,416
1899805,TCGA-AQ-A0Y5-01,PPARG,normal,      -0.620,414
2339490,TCGA-WE-AAA3-06,PPARG,normal,       0.277,540
2122087,TCGA-EM-A4FK-01,PPARG,normal,      -0.112,542
2198490,TCGA-AJ-A3NH-01,PPARG,normal,      -0.108,419
2270235,TCGA-IS-A3K7-01,PPARG,normal,       0.282,635
1651047,TCGA-AA-3845-01,PPARG,normal,       0.898,376
1474971,TCGA-09-0366-01,PPARG,normal,      -0.334,331
2263221,TCGA-HC-7232-01,PPARG,normal,       1.757,435
2193753,TCGA-CQ-6229-01,PPARG,normal,      -0.571,627
2263025,TCGA-D3-A8GI-06,PPARG,normal,      -0.513,540
1915878,TCGA-G9-7510-01,PPARG,normal,       0.059,435
2269954,TCGA-OR-A5JS-01,PPARG,normal,      -0.696,631
2339584,TCGA-BA-A4IG-01,PPARG,over,       3.112,627
2193625,TCGA-BB-4223-01,PPARG,normal,      -0.248,627
2339725,TCGA-YL-A8HK-01,PPARG,normal,      -0.079,435
2386004,TCGA-V1-A9O9-01,PPARG,normal,      -0.325,435
2457462,TCGA-XN-A8T3-01,PPARG,normal,      -0.404,629
1779487,TCGA-AR-A0TP-01,PPARG,normal,      -0.159,414
2196406,TCGA-09-1668-01,PPARG,normal,      -0.364,331
2193720,TCGA-CV-7253-01,PPARG,normal,      -0.738,627
2194367,TCGA-FG-7636-01,PPARG,normal,      -0.304,545
1899992,TCGA-BH-A204-01,PPARG,normal,      -0.559,414
1338079,TCGA-28-1753-01,PPARG,over,       2.775,329
2195148,TCGA-77-8007-01,PPARG,normal,       1.166,418
2121950,TCGA-E8-A433-01,PPARG,normal,      -0.141,542
1779982,TCGA-CJ-4918-01,PPARG,normal,      -0.510,416
2187839,TCGA-AC-A2FO-01,PPARG,normal,       0.484,414
2263103,TCGA-G3-A7M7-01,PPARG,normal,      -0.314,628
2122088,TCGA-EM-A4FM-01,PPARG,normal,      -0.207,542
1779311,TCGA-A2-A0T7-01,PPARG,normal,      -0.414,414
2270191,TCGA-OR-A5LG-01,PPARG,normal,      -0.621,631
2194626,TCGA-EP-A2KC-01,PPARG,normal,       0.018,628
2121653,TCGA-EE-A2A6-06,PPARG,normal,      -0.739,540
2198050,TCGA-BR-7196-01,PPARG,normal,      -0.262,541
2122020,TCGA-EL-A4KH-01,PPARG,normal,      -0.104,542
2198248,TCGA-DJ-A4UQ-01,PPARG,normal,      -0.112,542
1779437,TCGA-AN-A0XN-01,PPARG,normal,      -0.419,414
1731332,TCGA-61-1725-01,PPARG,normal,      -0.086,331
2194395,TCGA-FG-A4MU-01,PPARG,normal,      -0.105,545
2196531,TCGA-HZ-7918-01,PPARG,normal,      -1.008,629
2193579,TCGA-CR-7395-01,PPARG,normal,      -0.396,627
1899656,TCGA-A7-A0CJ-01,PPARG,normal,      -0.585,414
1913388,TCGA-B0-5083-01,PPARG,normal,       0.804,416
1783456,TCGA-BK-A0CB-01,PPARG,normal,       0.081,419
1899611,TCGA-A2-A0CU-01,PPARG,normal,      -0.052,414
