SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1783380,TCGA-AX-A1CP-01,NRAS,over,       2.238,419
2198461,TCGA-D1-A1O0-01,NRAS,normal,       0.048,419
1779545,TCGA-B6-A0RO-01,NRAS,normal,       0.489,414
2198074,TCGA-BR-6457-01,NRAS,normal,      -1.392,541
2194152,TCGA-HT-7691-01,NRAS,normal,      -0.502,545
2263250,TCGA-EK-A2RN-01,NRAS,normal,       0.014,415
2339356,TCGA-DD-AAD1-01,NRAS,normal,      -0.541,628
2195222,TCGA-68-8251-01,NRAS,normal,      -0.102,418
1780151,TCGA-50-5044-01,NRAS,normal,      -0.415,417
1783529,TCGA-D1-A17K-01,NRAS,normal,       0.581,419
1783449,TCGA-BG-A187-01,NRAS,normal,      -1.464,419
2339553,TCGA-VS-A8EK-01,NRAS,normal,       1.545,415
2269754,TCGA-DX-A8BH-01,NRAS,normal,       0.266,635
2262698,TCGA-A7-A5ZW-01,NRAS,normal,       0.112,414
2457501,TCGA-AC-A3TM-01,NRAS,normal,      -1.252,414
2196482,TCGA-HZ-8636-01,NRAS,normal,       1.108,629
2197999,TCGA-CG-4438-01,NRAS,normal,      -1.216,541
2197989,TCGA-BR-6453-01,NRAS,normal,      -0.949,541
1779951,TCGA-BP-5184-01,NRAS,normal,       0.776,416
1781625,TCGA-43-2578-01,NRAS,normal,      -0.706,418
2194125,TCGA-P5-A5EW-01,NRAS,normal,       0.784,545
1651546,TCGA-AG-3609-01,NRAS,normal,      -0.636,375
2197869,TCGA-HU-A4GP-01,NRAS,over,       2.003,541
2340077,TCGA-2J-AABE-01,NRAS,under,      -2.086,629
1779829,TCGA-B0-5095-01,NRAS,normal,      -0.265,416
1780052,TCGA-05-4250-01,NRAS,normal,       0.998,417
2530200,TCGA-33-4579-01,NRAS,normal,      -1.661,418
1651557,TCGA-AG-3881-01,NRAS,under,      -2.043,375
2457408,TCGA-XF-A9SP-01,NRAS,normal,      -0.611,413
2193931,TCGA-BP-4769-01,NRAS,normal,      -0.924,416
