SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2340104,TCGA-XJ-A9DK-01,NRAS,normal,      -0.411,435
2187891,TCGA-A2-A3KC-01,NRAS,normal,      -0.880,414
2187715,TCGA-LD-A7W6-01,NRAS,normal,      -0.880,414
2339288,TCGA-6D-AA2E-01,NRAS,normal,      -1.489,416
1898099,TCGA-DK-A2HX-01,NRAS,normal,       0.423,413
2386210,TCGA-VS-A9V4-01,NRAS,normal,       0.082,415
1899757,TCGA-AN-A0FL-01,NRAS,normal,      -0.382,414
2187882,TCGA-A2-A3XZ-01,NRAS,over,       2.626,414
2121712,TCGA-ER-A19A-06,NRAS,normal,       1.338,540
1914101,TCGA-95-7043-01,NRAS,normal,      -1.044,417
2187735,TCGA-GM-A2DF-01,NRAS,normal,       1.085,414
2193650,TCGA-P3-A6SW-01,NRAS,normal,      -1.226,627
2193820,TCGA-CR-6473-01,NRAS,normal,       0.126,627
1338087,TCGA-28-2513-01,NRAS,normal,       0.379,329
2270176,TCGA-LN-A5U6-01,NRAS,normal,      -0.901,633
2121916,TCGA-DJ-A3UW-01,NRAS,normal,       0.190,542
1651586,TCGA-AH-6644-01,NRAS,normal,       0.152,375
2195206,TCGA-77-8133-01,NRAS,normal,      -1.182,418
2121526,TCGA-D3-A3C1-06,NRAS,normal,      -0.820,540
1651283,TCGA-DM-A1DB-01,NRAS,normal,      -0.094,376
1651613,TCGA-EF-5830-01,NRAS,normal,       0.112,375
2193283,TCGA-FJ-A3Z7-01,NRAS,normal,       0.914,413
2122174,TCGA-GE-A2C6-01,NRAS,normal,       0.345,542
2339950,TCGA-VP-A879-01,NRAS,normal,      -0.487,435
2193287,TCGA-LC-A66R-01,NRAS,normal,       1.136,413
2198317,TCGA-B5-A0JU-01,NRAS,normal,       1.005,419
1782861,TCGA-66-2785-01,NRAS,normal,       0.427,418
2121802,TCGA-GN-A26D-06,NRAS,normal,      -0.142,540
1779241,TCGA-C4-A0F0-01,NRAS,over,       5.474,413
1783389,TCGA-B5-A0JZ-01,NRAS,normal,      -0.500,419
1650962,TCGA-A6-6780-01,NRAS,normal,      -1.441,376
1914077,TCGA-78-7633-01,NRAS,normal,       0.054,417
2385937,TCGA-2A-AAYU-01,NRAS,normal,      -0.274,435
2122017,TCGA-EL-A4K6-01,NRAS,normal,      -1.384,542
1779649,TCGA-BH-A0WA-01,NRAS,over,       3.132,414
2339844,TCGA-W9-A837-01,NRAS,normal,      -1.538,545
2457509,TCGA-EW-A6SD-01,NRAS,normal,      -0.168,414
2194828,TCGA-55-7576-01,NRAS,normal,       1.910,417
1801069,TCGA-A3-3311-01,NRAS,over,       2.345,416
1650937,TCGA-A6-3810-01,NRAS,normal,       1.032,376
1899592,TCGA-A1-A0SF-01,NRAS,normal,      -0.852,414
2120251,TCGA-06-0171-02,NRAS,normal,      -0.690,329
2262786,TCGA-P5-A5ET-01,NRAS,normal,      -1.784,545
2193376,TCGA-C5-A2LX-01,NRAS,normal,       1.276,415
2339595,TCGA-MM-A563-01,NRAS,normal,      -1.407,416
2339352,TCGA-DD-AADD-01,NRAS,over,       2.949,628
2121647,TCGA-EE-A29W-06,NRAS,normal,       0.784,540
2339197,TCGA-GU-AATP-01,NRAS,normal,      -0.861,413
2121657,TCGA-EE-A2GE-06,NRAS,normal,      -0.506,540
2187894,TCGA-A2-A0EP-01,NRAS,normal,      -0.324,414
1338086,TCGA-28-2509-01,NRAS,normal,       1.624,329
2195068,TCGA-60-2697-01,NRAS,normal,      -0.779,418
1779234,TCGA-BT-A20P-01,NRAS,normal,      -0.588,413
1899980,TCGA-BH-A1FE-06,NRAS,normal,      -0.119,414
2269770,TCGA-IS-A3KA-01,NRAS,normal,      -1.077,635
2198323,TCGA-BS-A0VI-01,NRAS,normal,      -1.218,419
2121548,TCGA-D3-A51T-06,NRAS,normal,       0.083,540
2198404,TCGA-FI-A2EU-01,NRAS,normal,       0.918,419
1475129,TCGA-61-2104-01,NRAS,normal,       0.726,331
2270233,TCGA-IG-A4QT-01,NRAS,normal,      -1.159,633
2457421,TCGA-E1-A7YJ-01,NRAS,normal,      -0.898,545
