SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2198024,TCGA-BR-8676-01,HRAS,over,       3.099,541
1651577,TCGA-AG-4008-01,HRAS,normal,      -0.541,375
2198348,TCGA-EY-A2ON-01,HRAS,normal,      -0.888,419
1910190,TCGA-06-0174-01,HRAS,normal,      -0.213,329
2263020,TCGA-AF-A56N-01,HRAS,normal,       0.197,375
2198138,TCGA-F1-6874-01,HRAS,normal,      -0.759,541
1650482,TCGA-AB-2996-03,HRAS,normal,      -0.839,377
2339775,TCGA-G2-AA3B-01,HRAS,normal,      -0.067,413
2121765,TCGA-FS-A1ZP-06,HRAS,normal,      -0.989,540
2269979,TCGA-X6-A8C2-01,HRAS,normal,      -0.436,635
1780195,TCGA-64-5779-01,HRAS,normal,      -0.406,417
2198271,TCGA-AJ-A3EL-01,HRAS,normal,      -0.037,419
1651060,TCGA-AA-3864-01,HRAS,normal,      -0.595,376
2198443,TCGA-A5-A3LP-01,HRAS,normal,      -0.866,419
2193363,TCGA-IR-A3LI-01,HRAS,normal,       0.117,415
1783434,TCGA-BG-A0MQ-01,HRAS,normal,      -0.611,419
2122181,TCGA-IM-A3ED-01,HRAS,normal,      -0.817,542
1650942,TCGA-A6-5659-01,HRAS,normal,      -0.819,376
2385921,TCGA-O2-A52Q-01,HRAS,normal,      -0.813,418
2121677,TCGA-EE-A2ME-06,HRAS,normal,      -1.101,540
2262964,TCGA-VM-A8C9-01,HRAS,over,       5.132,545
2121739,TCGA-ER-A3PL-06,HRAS,normal,      -0.394,540
2262853,TCGA-J4-A6M7-01,HRAS,normal,      -0.568,435
2195018,TCGA-85-7710-01,HRAS,normal,       0.376,418
2339401,TCGA-FB-AAQ3-01,HRAS,normal,       0.909,629
2122040,TCGA-EM-A22Q-01,HRAS,over,       5.383,542
1337859,TCGA-06-0745-01,HRAS,normal,       1.491,329
2198234,TCGA-IM-A4EB-01,HRAS,normal,       0.191,542
2198344,TCGA-K6-A3WQ-01,HRAS,normal,      -0.887,419
2197843,TCGA-D7-5577-01,HRAS,normal,       0.168,541
2270135,TCGA-X6-A7WA-01,HRAS,normal,      -0.583,635
2386035,TCGA-ZG-A9LS-01,HRAS,normal,      -0.311,435
1899927,TCGA-BH-A0E9-01,HRAS,normal,      -0.697,414
2270129,TCGA-R6-A6L4-01,HRAS,normal,      -0.459,633
2262772,TCGA-S9-A6TW-01,HRAS,normal,       0.724,545
2195193,TCGA-77-8145-01,HRAS,normal,      -0.038,418
2340165,TCGA-FG-A711-01,HRAS,normal,       0.162,545
2187761,TCGA-E9-A3Q9-01,HRAS,normal,      -0.272,414
2269713,TCGA-LN-A4A2-01,HRAS,normal,      -0.529,633
2185815,TCGA-DU-7304-02,HRAS,over,       5.429,545
2262796,TCGA-YA-A8S7-01,HRAS,normal,       0.209,628
2197933,TCGA-BR-4255-01,HRAS,normal,      -0.228,541
2187844,TCGA-AC-A2FB-01,HRAS,normal,      -0.723,414
1779962,TCGA-BP-5198-01,HRAS,normal,      -0.200,416
2121736,TCGA-ER-A2NH-06,HRAS,normal,      -0.147,540
2457463,TCGA-XN-A8T5-01,HRAS,normal,      -0.334,629
2457469,TCGA-56-8083-01,HRAS,normal,      -0.802,418
2197892,TCGA-BR-A4PE-01,HRAS,normal,       0.243,541
2263270,TCGA-QH-A6X4-01,HRAS,normal,       0.938,545
1474842,TCGA-13-1507-01,HRAS,normal,       1.001,331
2193517,TCGA-MT-A67F-01,HRAS,normal,      -0.296,627
2198278,TCGA-EY-A1GD-01,HRAS,normal,      -0.989,419
2193710,TCGA-CV-7261-01,HRAS,normal,      -0.796,627
1782691,TCGA-66-2768-01,HRAS,normal,      -0.025,418
2198330,TCGA-AJ-A2QL-01,HRAS,normal,      -1.469,419
2196521,TCGA-IB-7893-01,HRAS,normal,      -0.656,629
1338079,TCGA-28-1753-01,HRAS,normal,      -0.767,329
1783466,TCGA-BS-A0TI-01,HRAS,normal,      -0.061,419
1914067,TCGA-78-7163-01,HRAS,over,       2.831,417
2339371,TCGA-50-8459-01,HRAS,normal,       1.111,417
2198099,TCGA-CG-5725-01,HRAS,normal,       0.868,541
2269722,TCGA-N9-A4Q7-01,HRAS,over,       5.298,636
2270066,TCGA-XP-A8T6-01,HRAS,normal,      -0.452,633
2385986,TCGA-KK-A8IM-01,HRAS,normal,      -0.601,435
2193753,TCGA-CQ-6229-01,HRAS,normal,      -0.078,627
1651606,TCGA-DC-6157-01,HRAS,normal,       0.302,375
2195173,TCGA-22-0940-01,HRAS,normal,       1.225,418
1779434,TCGA-AN-A0FZ-01,HRAS,normal,      -0.286,414
2385922,TCGA-O2-A52S-01,HRAS,normal,       1.232,418
2339490,TCGA-WE-AAA3-06,HRAS,normal,      -0.919,540
2270011,TCGA-KF-A41W-01,HRAS,normal,       0.356,635
2262717,TCGA-C5-A7UE-01,HRAS,over,       2.362,415
2197899,TCGA-D7-A4YV-01,HRAS,normal,      -0.426,541
2269797,TCGA-OR-A5J2-01,HRAS,normal,      -1.850,631
1900257,TCGA-EW-A1PH-01,HRAS,normal,       0.011,414
2198314,TCGA-A5-A0G2-01,HRAS,normal,       0.905,419
1914046,TCGA-73-7499-01,HRAS,normal,       0.184,417
1899866,TCGA-B6-A0RS-01,HRAS,normal,      -0.467,414
1782191,TCGA-60-2713-01,HRAS,normal,       1.140,418
2122130,TCGA-ET-A3DR-01,HRAS,normal,      -0.661,542
2269893,TCGA-GR-7351-01,HRAS,normal,       1.578,632
2198207,TCGA-FY-A40N-01,HRAS,normal,      -0.547,542
2197929,TCGA-BR-8677-01,HRAS,normal,       0.232,541
2198289,TCGA-B5-A3FC-01,HRAS,normal,       0.290,419
2270254,TCGA-KO-8408-01,HRAS,over,       2.140,634
2198147,TCGA-CG-4437-01,HRAS,normal,       0.147,541
1782350,TCGA-60-2725-01,HRAS,normal,      -0.618,418
2195122,TCGA-22-5479-01,HRAS,normal,       1.700,418
