SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2270051,TCGA-OR-A5LT-01,HRAS,normal,      -1.458,631
2339942,TCGA-XK-AAIR-01,HRAS,normal,      -0.599,435
2269965,TCGA-P6-A5OG-01,HRAS,normal,       0.724,631
2339631,TCGA-G3-AAV1-01,HRAS,normal,      -0.803,628
1780234,TCGA-91-6828-01,HRAS,normal,      -0.749,417
2198074,TCGA-BR-6457-01,HRAS,normal,      -0.173,541
2386055,TCGA-2Y-A9H4-01,HRAS,over,       3.142,628
1651523,TCGA-AF-6655-01,HRAS,normal,       0.575,375
2385931,TCGA-B8-A54K-01,HRAS,normal,      -0.509,416
1779922,TCGA-BP-4987-01,HRAS,normal,      -0.333,416
2193409,TCGA-C5-A1BM-01,HRAS,normal,      -0.310,415
2194887,TCGA-91-A4BD-01,HRAS,normal,       0.981,417
2386056,TCGA-2Y-A9H5-01,HRAS,normal,      -0.795,628
1899903,TCGA-BH-A0BV-01,HRAS,normal,      -0.188,414
2339881,TCGA-DD-AADB-01,HRAS,normal,      -0.381,628
2197904,TCGA-D7-6528-01,HRAS,normal,       0.537,541
2262906,TCGA-LL-A8F5-01,HRAS,normal,       0.445,414
1899898,TCGA-BH-A0BP-01,HRAS,normal,      -0.491,414
1474921,TCGA-57-1582-01,HRAS,normal,      -1.227,331
2340230,TCGA-YL-A8SI-01,HRAS,normal,      -0.168,435
1797194,TCGA-EJ-5506-01,HRAS,normal,      -0.735,435
2339794,TCGA-UC-A7PI-01,HRAS,normal,      -0.864,415
2122037,TCGA-EM-A22N-01,HRAS,normal,      -0.707,542
1900124,TCGA-E2-A150-01,HRAS,normal,      -0.420,414
1779789,TCGA-A3-3365-01,HRAS,normal,      -0.490,416
2197896,TCGA-BR-7707-01,HRAS,over,       3.391,541
1779829,TCGA-B0-5095-01,HRAS,normal,      -0.341,416
2121832,TCGA-BJ-A3F0-01,HRAS,normal,       1.085,542
2196378,TCGA-31-1944-01,HRAS,normal,      -1.449,331
2187828,TCGA-AC-A3YI-01,HRAS,normal,       0.461,414
2457489,TCGA-RC-A6M5-01,HRAS,normal,      -0.525,628
1780274,TCGA-18-3408-01,HRAS,normal,      -1.761,418
2340251,TCGA-XF-AAML-01,HRAS,normal,      -0.641,413
2270189,TCGA-OR-A5L6-01,HRAS,normal,      -0.667,631
1914110,TCGA-97-7937-01,HRAS,normal,      -0.333,417
2194285,TCGA-HT-7603-01,HRAS,normal,       1.379,545
2198461,TCGA-D1-A1O0-01,HRAS,normal,      -0.996,419
2121880,TCGA-DJ-A2PN-01,HRAS,normal,      -0.456,542
1783410,TCGA-B5-A11S-01,HRAS,normal,      -1.222,419
1779880,TCGA-B8-4146-01,HRAS,normal,      -1.184,416
2269910,TCGA-KL-8331-01,HRAS,normal,      -0.617,634
2195171,TCGA-J1-A4AH-01,HRAS,normal,       0.173,418
2197902,TCGA-BR-A4CR-01,HRAS,normal,      -0.025,541
2340503,TCGA-2A-A8VL-01,HRAS,normal,      -0.095,435
2122187,TCGA-J8-A3YE-01,HRAS,normal,      -0.294,542
1783320,TCGA-A5-A0GX-01,HRAS,normal,       1.634,419
2386066,TCGA-5R-AAAM-01,HRAS,normal,      -0.673,628
2120517,TCGA-CJ-4890-01,HRAS,normal,      -0.531,416
1651282,TCGA-DM-A1DA-01,HRAS,normal,       0.226,376
2262851,TCGA-J4-A67Q-01,HRAS,over,       3.189,435
2121908,TCGA-DJ-A3UN-01,HRAS,normal,      -0.126,542
1783539,TCGA-D1-A1NX-01,HRAS,normal,      -0.839,419
2197897,TCGA-BR-A4J6-01,HRAS,normal,       0.793,541
2197913,TCGA-HU-A4G8-01,HRAS,normal,       0.224,541
2194368,TCGA-DH-A66F-01,HRAS,normal,      -0.282,545
2195081,TCGA-90-A4EE-01,HRAS,normal,       0.131,418
1780215,TCGA-73-4666-01,HRAS,normal,      -0.498,417
2339709,TCGA-EJ-A65G-01,HRAS,normal,      -0.289,435
2121647,TCGA-EE-A29W-06,HRAS,normal,      -0.495,540
2193692,TCGA-CV-7254-01,HRAS,normal,      -0.537,627
2120406,TCGA-AK-3445-01,HRAS,normal,       0.060,416
1337878,TCGA-06-2558-01,HRAS,normal,      -1.128,329
2340268,TCGA-Q1-A73O-01,HRAS,normal,      -0.158,415
1899847,TCGA-AR-A24Z-01,HRAS,normal,      -0.716,414
2198284,TCGA-AJ-A3EK-01,HRAS,normal,      -0.380,419
2198117,TCGA-BR-8683-01,HRAS,normal,      -0.718,541
2193669,TCGA-CN-6998-01,HRAS,normal,      -0.218,627
