SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2263199,TCGA-ZS-A9CF-01,PPARG,normal,      -0.586,628
2269914,TCGA-KL-8341-01,PPARG,normal,       0.009,634
1779257,TCGA-A1-A0SJ-01,PPARG,normal,       0.410,414
2195206,TCGA-77-8133-01,PPARG,normal,      -0.162,418
1899799,TCGA-AO-A1KR-01,PPARG,normal,      -0.636,414
1651601,TCGA-DC-5337-01,PPARG,normal,       0.407,375
2120471,TCGA-BP-4354-01,PPARG,normal,      -0.572,416
1474908,TCGA-29-2427-01,PPARG,normal,       0.324,331
2121689,TCGA-EE-A2MS-06,PPARG,normal,      -0.205,540
2263253,TCGA-3L-AA1B-01,PPARG,normal,       0.274,376
2270052,TCGA-PC-A5DN-01,PPARG,normal,      -0.216,635
2193195,TCGA-FD-A5BV-01,PPARG,normal,       0.526,413
2120352,TCGA-32-2632-01,PPARG,normal,       0.597,329
1899689,TCGA-A8-A07Z-01,PPARG,normal,      -0.006,414
2197589,TCGA-EJ-8469-01,PPARG,normal,      -0.256,435
2195099,TCGA-56-7222-01,PPARG,normal,       0.086,418
2385976,TCGA-KK-A8I8-01,PPARG,normal,      -0.608,435
2121632,TCGA-EE-A29A-06,PPARG,normal,      -0.279,540
2385769,TCGA-4N-A93T-01,PPARG,normal,       0.594,376
2195171,TCGA-J1-A4AH-01,PPARG,normal,       0.623,418
1651561,TCGA-AG-3887-01,PPARG,normal,      -1.036,375
1783515,TCGA-D1-A16Q-01,PPARG,normal,      -0.275,419
2122000,TCGA-EL-A3T7-01,PPARG,normal,      -0.115,542
1779913,TCGA-BP-4974-01,PPARG,normal,      -0.058,416
1338066,TCGA-27-2521-01,PPARG,normal,      -1.070,329
1474943,TCGA-36-1578-01,PPARG,normal,      -0.250,331
2194864,TCGA-MP-A4T8-01,PPARG,normal,      -0.651,417
2195019,TCGA-22-4594-01,PPARG,normal,      -0.886,418
2198150,TCGA-CG-4304-01,PPARG,normal,      -0.342,541
1781584,TCGA-39-5036-01,PPARG,normal,       0.239,418
2198001,TCGA-HU-8238-01,PPARG,normal,       0.174,541
2193677,TCGA-DQ-7595-01,PPARG,normal,       0.868,627
1651551,TCGA-AG-3727-01,PPARG,normal,      -1.401,375
2121726,TCGA-ER-A19P-06,PPARG,normal,       0.276,540
1651172,TCGA-AZ-6598-01,PPARG,normal,      -0.917,376
2193535,TCGA-CR-6484-01,PPARG,normal,      -0.111,627
2340185,TCGA-DD-AAEA-01,PPARG,normal,      -0.112,628
1783361,TCGA-AX-A05T-01,PPARG,normal,      -0.424,419
2269728,TCGA-OR-A5K0-01,PPARG,normal,      -0.892,631
2194276,TCGA-HT-7476-01,PPARG,normal,      -0.495,545
2178266,TCGA-06-5416-01,PPARG,normal,      -0.354,329
2193678,TCGA-P3-A6T6-01,PPARG,normal,      -0.598,627
1650425,TCGA-AB-2933-03,PPARG,normal,      -0.485,377
2120470,TCGA-BP-4352-01,PPARG,normal,      -1.035,416
