SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905985,SF295,CGAS_ENST00000370318,normal,      -0.430
905985,SF295,MYOF,normal,       0.152
905985,SF295,HOXC11,normal,       0.322
905985,SF295,PCDH20,normal,      -1.709
905985,SF295,ELOA2,normal,      -1.233
905985,SF295,NR1D2,normal,       1.658
905985,SF295,LOXL3,normal,      -0.130
905985,SF295,MVK,normal,      -0.804
905985,SF295,DNAJC21,normal,       0.716
905985,SF295,FAM83B,normal,       0.091
905985,SF295,BAG2,normal,      -0.557
905985,SF295,ARL16,normal,       0.997
905985,SF295,ZNF682,normal,      -0.706
905985,SF295,UBE2T,normal,      -0.551
905985,SF295,VRK1,under,      -2.159
905985,SF295,BIRC3,normal,       1.066
905985,SF295,AGXT2,normal,      -0.015
905985,SF295,VSTM1,under,      -2.302
905985,SF295,SLC7A2,normal,       0.393
905985,SF295,ARHGAP15,normal,       0.064
905985,SF295,NETO2,normal,      -0.321
905985,SF295,DNAJA4,normal,      -1.182
905985,SF295,PDCD6,normal,       1.105
905985,SF295,IFIH1,normal,       0.947
905985,SF295,PDCD6IP,normal,       0.115
905985,SF295,FAM160B1,normal,       0.361
905985,SF295,DLGAP3,normal,       0.342
905985,SF295,CAMKMT,normal,      -1.712
905985,SF295,SPATC1,normal,       1.286
905985,SF295,DCTN5,normal,       0.622
905985,SF295,MELK,normal,      -0.725
905985,SF295,CEACAM8,normal,      -0.526
905985,SF295,OSBPL2,normal,       0.308
905985,SF295,UTP23,normal,      -0.740
905985,SF295,SH2D4B,normal,      -1.207
905985,SF295,KIAA1217,normal,       0.043
905985,SF295,MMRN2,under,      -2.948
905985,SF295,DIP2B,normal,      -1.099
905985,SF295,PRRT2,normal,       0.620
905985,SF295,ALPP,normal,      -0.401
905985,SF295,MSANTD1,over,       2.068
905985,SF295,RNMT,normal,      -0.343
905985,SF295,METTL3,under,      -2.158
905985,SF295,OR8D2,normal,      -1.458
905985,SF295,PLPP2_ENST00000434325,normal,       0.672
905985,SF295,ANAPC16,normal,      -1.382
905985,SF295,TRIM54,normal,      -0.080
905985,SF295,CBL,normal,      -0.623
905985,SF295,RPL4,normal,      -1.781
905985,SF295,ZSCAN25,normal,       0.762
905985,SF295,NXPH4,normal,       0.262
905985,SF295,TMEM86B,normal,       1.463
905985,SF295,IL12A,normal,       0.640
905985,SF295,ZNF835,normal,       1.133
905985,SF295,COQ10B,normal,       1.311
905985,SF295,LAP3,normal,      -0.114
905985,SF295,ODAM,normal,      -1.264
905985,SF295,CHORDC1,under,      -4.782
905985,SF295,FOXR2,normal,       0.213
905985,SF295,DDO,normal,       1.791
905985,SF295,DEFA4,normal,      -0.410
905985,SF295,PAF1,normal,       0.676
905985,SF295,NADSYN1,normal,      -0.210
905985,SF295,ADAM8,normal,      -0.556
905985,SF295,LYAR,normal,      -1.526
905985,SF295,LAMTOR3,normal,       0.475
905985,SF295,KCNMB3_ENST00000392685,normal,      -1.507
905985,SF295,CTSV,normal,      -1.593
905985,SF295,B3GALT5-AS1,normal,       0.494
905985,SF295,DDX55,under,      -2.709
905985,SF295,CER1,normal,      -0.662
905985,SF295,ECT2,normal,      -0.022
905985,SF295,FAM120B,normal,       0.374
905985,SF295,TGFBR2,normal,      -0.042
905985,SF295,COMMD10,over,       2.200
905985,SF295,C1orf226,normal,      -0.599
905985,SF295,CTNS,normal,      -0.555
905985,SF295,HIST1H2AA,normal,       0.473
905985,SF295,YWHAH,normal,      -0.394
905985,SF295,FAM3A,normal,       1.008
905985,SF295,OR7C2,normal,      -0.571
905985,SF295,BSDC1,normal,       1.096
905985,SF295,MMRN1,normal,      -1.046
905985,SF295,GGCX,normal,       0.903
905985,SF295,TAF8,normal,      -0.545
905985,SF295,ADHFE1,under,      -2.156
905985,SF295,RAB9A,normal,      -0.634
905985,SF295,GMPR,normal,       1.596
905985,SF295,TSNAXIP1,normal,       0.601
905985,SF295,ITPR2,normal,       0.552
905985,SF295,NPTN,normal,       1.592
905985,SF295,B3GAT2,normal,      -0.269
905985,SF295,KLHL32,normal,      -0.157
905985,SF295,SLC17A6,normal,       0.607
905985,SF295,OR6B3,normal,      -0.296
905985,SF295,RUNX2,normal,       1.491
905985,SF295,TPPP2,normal,       0.142
905985,SF295,ANKRD27,normal,      -0.084
905985,SF295,ARRDC3,normal,       0.468
905985,SF295,GLUD1,normal,      -0.419
905985,SF295,DHRS3,over,       2.630
905985,SF295,SPDYE4,normal,       0.937
905985,SF295,ITIH6,normal,      -0.477
905985,SF295,WDR74,normal,      -1.389
905985,SF295,KDF1,normal,      -1.370
905985,SF295,COTL1,normal,       0.262
905985,SF295,FZD3,normal,      -0.773
905985,SF295,TMEM63C,normal,      -0.805
905985,SF295,PREX1,normal,      -0.338
905985,SF295,BZW2,normal,      -0.858
905985,SF295,CAVIN4,normal,      -0.491
905985,SF295,GNAT1,normal,       0.077
905985,SF295,HSCB,normal,      -1.221
905985,SF295,KIAA1549L,normal,      -1.057
905985,SF295,RBFOX1,normal,       0.949
905985,SF295,MYO1A,normal,      -1.478
905985,SF295,MRPL1,normal,      -1.440
905985,SF295,GIMAP1,normal,       0.173
905985,SF295,SEC24B,normal,       0.631
905985,SF295,CLTC,over,       3.036
905985,SF295,KREMEN1,normal,       1.071
905985,SF295,CC2D1B,normal,       0.339
905985,SF295,ZCCHC2,normal,      -0.628
905985,SF295,HIST1H1T,normal,       1.201
905985,SF295,LHFPL5,normal,       0.003
905985,SF295,HIST3H2A,normal,      -1.264
905985,SF295,PHKG2,normal,       1.469
905985,SF295,EDDM3B,normal,       0.329
905985,SF295,FRS3,normal,      -0.652
905985,SF295,PCDHB13,normal,      -0.248
905985,SF295,EIF3M,normal,      -1.980
905985,SF295,SIRT5,normal,      -1.536
905985,SF295,MCHR2,normal,       0.281
905985,SF295,H1FOO,normal,       0.482
905985,SF295,ACBD5,normal,      -0.721
905985,SF295,CDO1,normal,      -0.441
905985,SF295,CABP2,normal,       1.267
905985,SF295,PPP1R13L,normal,      -1.036
905985,SF295,TAF1D,normal,      -1.772
905985,SF295,DCST2,normal,       0.525
905985,SF295,RPLP2,normal,      -0.754
905985,SF295,TRIM31,normal,      -0.055
905985,SF295,ASXL1,normal,      -1.351
905985,SF295,SPTSSB,normal,      -0.029
905985,SF295,UTS2,normal,       0.038
905985,SF295,GIMAP6,normal,       0.336
905985,SF295,FJX1,normal,      -0.485
905985,SF295,CFAP100_ENST00000393425,normal,      -0.933
905985,SF295,PRPF6,normal,      -0.504
905985,SF295,PSTPIP1,normal,       0.292
905985,SF295,OSBPL7,normal,       0.649
905985,SF295,FBXL15,normal,      -0.961
905985,SF295,THBD,normal,       0.586
905985,SF295,RB1CC1,normal,       1.816
905985,SF295,NXT1,normal,      -0.617
905985,SF295,SRMS,normal,      -0.232
905985,SF295,FAM86C1,normal,       0.221
905985,SF295,LMO7,normal,      -0.158
905985,SF295,SNRPA1,normal,       0.087
905985,SF295,NPFFR1,normal,       0.599
905985,SF295,CAPN14,normal,      -0.103
905985,SF295,TMEM121B_ENST00000399875,normal,       0.496
905985,SF295,ADAM12,normal,       1.316
905985,SF295,CBX4,normal,       1.304
905985,SF295,NEDD4L,normal,       0.382
905985,SF295,FKTN,normal,      -0.692
905985,SF295,DENND6B,normal,      -0.689
905985,SF295,CIAPIN1,normal,       0.982
905985,SF295,NAT8,normal,      -0.490
905985,SF295,COG6,normal,       0.040
905985,SF295,CYP2D6,under,      -3.607
905985,SF295,ETNK1,normal,       0.284
905985,SF295,ARRB2,normal,      -0.404
905985,SF295,RTTN,normal,       0.208
905985,SF295,RGS17,normal,       1.299
905985,SF295,TSC1,normal,       0.211
905985,SF295,MAP4K2,normal,      -0.363
905985,SF295,GNA14,normal,      -0.506
905985,SF295,C3orf22,normal,      -0.517
905985,SF295,COL1A1,normal,       0.827
905985,SF295,SLC25A4,normal,      -1.777
905985,SF295,IGDCC4,normal,      -0.674
905985,SF295,C10orf88,normal,      -1.658
905985,SF295,ATG16L1,normal,       0.749
905985,SF295,ATG5,normal,       0.541
905985,SF295,INHBE,normal,      -0.016
905985,SF295,SLC45A1,normal,       1.220
905985,SF295,CA12,normal,       0.627
905985,SF295,CRYGS,normal,      -1.292
905985,SF295,GNAT2,normal,      -0.973
905985,SF295,TMEM18,normal,      -1.152
905985,SF295,CYP27A1,normal,       0.222
905985,SF295,RNF145,normal,       1.934
905985,SF295,CACNA1S,normal,      -0.937
905985,SF295,NDUFB4,normal,       0.928
905985,SF295,CSNK1G1,normal,       0.330
905985,SF295,WFIKKN2,normal,       0.047
905985,SF295,CTDSPL,normal,      -0.583
905985,SF295,RBMXL3,normal,       1.108
905985,SF295,ARPC5,normal,      -0.087
905985,SF295,GUCA2A,normal,       0.072
905985,SF295,C5orf15,over,       3.173
905985,SF295,COL25A1,normal,      -0.969
905985,SF295,BST2,normal,       0.201
905985,SF295,LYRM2,normal,      -0.236
905985,SF295,ZSWIM2,normal,       0.067
905985,SF295,OR5AN1,normal,      -1.418
905985,SF295,JAG2,normal,      -1.034
905985,SF295,DHX36,normal,      -0.090
905985,SF295,GPRC5A,normal,       0.084
905985,SF295,NRARP,under,      -2.237
905985,SF295,PPA1,under,      -2.496
905985,SF295,ELOVL6,normal,      -0.606
905985,SF295,RPS16,normal,      -1.787
905985,SF295,ZNF626,normal,      -0.311
905985,SF295,HIST1H2BH,normal,      -0.118
905985,SF295,ETS1,normal,       0.154
905985,SF295,FAM173B,normal,       0.144
905985,SF295,PLA2G15,over,       2.834
905985,SF295,TRIO,normal,       1.000
905985,SF295,AMH,normal,       1.361
905985,SF295,LHX8,normal,       1.014
905985,SF295,ID3,normal,       1.061
905985,SF295,TECRL,normal,      -0.195
905985,SF295,FHAD1,normal,      -0.417
905985,SF295,ZNF33A,normal,      -1.928
905985,SF295,ZNF329,normal,      -0.448
905985,SF295,DEPDC4,normal,      -0.356
905985,SF295,GPC3,normal,      -0.415
905985,SF295,CYP24A1,normal,       0.614
905985,SF295,GLYCTK,normal,      -0.230
905985,SF295,CEP152,normal,      -0.533
905985,SF295,TBC1D8B,normal,       0.674
905985,SF295,KLC4,normal,       0.434
905985,SF295,TMEM121,normal,      -1.377
905985,SF295,HSPA8,normal,      -0.082
905985,SF295,E2F7,over,       2.352
905985,SF295,RCSD1,normal,      -0.349
905985,SF295,NT5DC2,normal,       0.231
905985,SF295,MID1IP1,normal,      -0.276
905985,SF295,ZNF90,normal,      -0.160
905985,SF295,NSUN2,normal,      -0.681
905985,SF295,EMC3,normal,       1.631
905985,SF295,UNC5B,normal,      -0.515
905985,SF295,PSKH1,over,       2.129
905985,SF295,TFIP11,normal,       0.264
905985,SF295,PNPLA4,normal,      -1.190
905985,SF295,MAPK14,normal,      -0.862
905985,SF295,ZNF212,normal,       0.532
905985,SF295,TRMU,normal,       0.023
905985,SF295,F2RL3,normal,      -0.786
905985,SF295,C12orf71,normal,       0.736
905985,SF295,GJB6,normal,      -1.972
905985,SF295,OBSCN,normal,       0.234
905985,SF295,LRIT2,normal,       0.466
905985,SF295,SGTA,normal,       1.563
905985,SF295,SETD9,normal,      -0.942
905985,SF295,ZNF691,normal,      -1.820
905985,SF295,GPR15,over,       2.051
905985,SF295,ELOA_ENST00000609199,normal,      -0.079
905985,SF295,PLA2G4D,normal,       0.200
905985,SF295,USP54,normal,      -1.675
905985,SF295,ETS2,normal,      -0.033
905985,SF295,OR51V1,normal,       0.181
905985,SF295,YIPF2,normal,       1.777
905985,SF295,KRT79,normal,       0.017
905985,SF295,AKR1C2,normal,       1.059
905985,SF295,ALDH1L2,normal,      -1.392
905985,SF295,CASP4,normal,       1.084
905985,SF295,SLC2A4RG,normal,      -0.881
905985,SF295,XCL1,normal,      -0.610
905985,SF295,RYK,normal,      -0.088
905985,SF295,PPFIA1,normal,      -1.564
905985,SF295,FAXDC2_ENST00000518651,normal,       1.186
905985,SF295,PTBP2,normal,      -1.493
905985,SF295,EP300,normal,       0.207
905985,SF295,APBB3,normal,      -1.027
905985,SF295,ZNF613,normal,      -0.435
905985,SF295,IQSEC1,normal,      -0.163
905985,SF295,NFE2L2,normal,       1.616
905985,SF295,MYL9,normal,      -0.322
905985,SF295,HIST1H2AI,normal,       0.756
905985,SF295,ADGB,normal,      -0.398
905985,SF295,NDST4,normal,       0.080
905985,SF295,ALDH1A3,over,       2.734
905985,SF295,PDE4B,normal,      -0.699
905985,SF295,PREP,normal,      -0.712
905985,SF295,TPBG,normal,       0.584
905985,SF295,CENPBD1,normal,      -0.625
905985,SF295,GAS8-AS1,normal,      -1.063
905985,SF295,SMIM14,normal,       0.667
905985,SF295,SCN4B,normal,       1.315
905985,SF295,RCC2,normal,      -0.558
905985,SF295,AKR7A2,normal,       0.265
905985,SF295,LINC01465,normal,       0.080
905985,SF295,SCAF8,normal,      -0.559
905985,SF295,F2R,normal,       1.314
905985,SF295,IAPP,normal,       0.631
905985,SF295,TNPO1,normal,      -0.025
905985,SF295,SNRNP40,normal,      -1.038
905985,SF295,FAM186A,normal,      -0.153
905985,SF295,ZFAT,normal,       0.596
905985,SF295,GPR82,normal,       0.880
905985,SF295,SIPA1L2,normal,       1.140
905985,SF295,FZD4,over,       2.174
905985,SF295,SLC10A6,normal,      -1.349
905985,SF295,SLC30A3,normal,      -0.710
905985,SF295,RANBP2,normal,      -0.686
905985,SF295,TRIM61,normal,       0.115
905985,SF295,CZIB,normal,       0.363
905985,SF295,OR5K2,normal,      -0.246
905985,SF295,NDRG1,normal,       0.454
905985,SF295,SLC36A1,normal,      -0.873
905985,SF295,MYCBPAP,normal,       0.540
905985,SF295,ARHGEF16,normal,      -0.779
905985,SF295,KRT23,normal,       0.190
905985,SF295,FAM84A,normal,       1.361
905985,SF295,OGFOD3,over,       3.025
905985,SF295,ERP27,normal,      -0.393
905985,SF295,AGRP,normal,      -0.898
905985,SF295,CEBPG,normal,      -0.058
905985,SF295,LEMD1,normal,       0.442
905985,SF295,FOXD4,under,      -2.911
905985,SF295,PAEP,normal,      -0.185
905985,SF295,WDR31,normal,       0.037
