SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905986,SF268,IL12RB1,normal,      -0.926
905986,SF268,ATIC,normal,       0.636
905986,SF268,SUZ12,normal,       0.498
905986,SF268,SLC25A28,normal,      -1.028
905986,SF268,SMAP1,normal,       0.530
905986,SF268,QPCTL,normal,       0.050
905986,SF268,ODF3B,normal,      -0.535
905986,SF268,SCRN2,normal,       0.686
905986,SF268,CCBE1,normal,       0.679
905986,SF268,SYNGR4,normal,      -1.221
905986,SF268,AICDA,normal,      -0.194
905986,SF268,RSPO1,normal,       0.023
905986,SF268,ENO2,normal,       0.507
905986,SF268,ZNF765,normal,       0.370
905986,SF268,ZNF587,normal,      -1.107
905986,SF268,LCNL1,normal,       0.776
905986,SF268,KIRREL1,normal,       0.233
905986,SF268,MRPL36,normal,      -0.019
905986,SF268,SHARPIN,normal,       0.197
905986,SF268,PTPDC1,normal,      -0.142
905986,SF268,TNNI3,normal,      -0.230
905986,SF268,FCRL3,normal,      -0.142
905986,SF268,ZSWIM3,normal,      -1.050
905986,SF268,ERCC3,normal,       1.470
905986,SF268,BCL2,normal,      -1.124
905986,SF268,SLC16A12,normal,       1.101
905986,SF268,IRF2BP2,normal,      -0.550
905986,SF268,PNLDC1,normal,       1.090
905986,SF268,MAPKAPK3,normal,      -0.542
905986,SF268,COMT,normal,       0.240
905986,SF268,WDR77,normal,       1.295
905986,SF268,TUBB6,normal,       1.366
905986,SF268,INHA,under,      -2.938
905986,SF268,PSD,normal,      -0.058
905986,SF268,INA,normal,      -0.046
905986,SF268,NFKBIE,normal,      -0.066
905986,SF268,AADAT,normal,       0.308
905986,SF268,BHLHE40,normal,       0.215
905986,SF268,ERVMER34-1,normal,      -0.989
905986,SF268,MAGEA4,normal,      -0.795
905986,SF268,ABCC6,normal,       0.014
905986,SF268,INHBB,normal,       1.060
905986,SF268,LAMP1,normal,       1.799
905986,SF268,CNKSR1,normal,      -0.283
905986,SF268,ITGB3BP,normal,      -0.131
905986,SF268,HDGFL1,normal,       0.842
905986,SF268,BMF,normal,      -0.239
905986,SF268,UBALD1,normal,      -1.798
905986,SF268,PRKAR1B,normal,      -0.878
905986,SF268,TRAM2,over,       2.037
905986,SF268,TGOLN2,normal,       0.360
905986,SF268,CYP3A7,normal,       0.704
905986,SF268,POLR3E,normal,      -1.631
905986,SF268,MYOM3,normal,      -1.695
905986,SF268,CACNA1H,normal,       0.241
905986,SF268,C5orf51,normal,       1.270
905986,SF268,CITED4,normal,      -0.306
905986,SF268,CORIN,normal,      -0.382
905986,SF268,TLR7,normal,      -0.024
905986,SF268,PMS2,normal,       0.338
905986,SF268,ACAP1,normal,       0.482
905986,SF268,GRIK5,normal,      -0.700
905986,SF268,NYNRIN,normal,      -0.577
905986,SF268,GML,normal,       1.334
905986,SF268,PTAFR,normal,      -0.491
905986,SF268,KLHDC10,normal,       1.856
905986,SF268,SETD4,normal,      -0.506
905986,SF268,SLC22A23,normal,       0.384
905986,SF268,C22orf24,normal,       0.553
905986,SF268,RBPJ,normal,      -0.441
905986,SF268,ACADL,normal,      -0.177
905986,SF268,ADGRL3_ENST00000509896,normal,      -0.258
905986,SF268,MTMR6,normal,      -0.217
905986,SF268,CTSS,normal,      -0.310
905986,SF268,SENP2,normal,      -0.435
905986,SF268,ZNF497,normal,       0.916
905986,SF268,PAFAH1B3,normal,       0.031
905986,SF268,SH3RF1,normal,       1.233
905986,SF268,SYT2,normal,       0.221
905986,SF268,C1orf87,normal,      -1.060
905986,SF268,SERTAD4,normal,       0.818
905986,SF268,ZNF420,normal,      -0.047
905986,SF268,PAPPA,normal,       1.816
905986,SF268,EGFL7,normal,      -0.158
905986,SF268,NOVA1,normal,      -0.804
