SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905967,NCI-H322M,HMGCLL1,normal,       0.032
905967,NCI-H322M,RERGL,normal,       0.932
905967,NCI-H322M,SMNDC1,normal,       0.456
905967,NCI-H322M,AXIN2,normal,      -0.151
905967,NCI-H322M,ARR3,normal,       0.420
905967,NCI-H322M,LEFTY1,normal,       0.944
905967,NCI-H322M,DISP2,normal,      -0.795
905967,NCI-H322M,SSNA1,normal,       1.985
905967,NCI-H322M,TTC16,normal,       1.583
905967,NCI-H322M,UBQLN4,normal,       0.838
905967,NCI-H322M,H2AFZ,normal,      -1.121
905967,NCI-H322M,MICAL1,under,      -2.457
905967,NCI-H322M,RAB5C,normal,       0.027
905967,NCI-H322M,ETV3,over,       2.685
905967,NCI-H322M,LMBRD2,normal,       1.128
905967,NCI-H322M,THRAP3,normal,      -0.869
905967,NCI-H322M,ANKS1A,normal,      -0.146
905967,NCI-H322M,MT1E,normal,      -0.888
905967,NCI-H322M,NKX2-1_ENST00000498187,normal,      -0.567
905967,NCI-H322M,WDR26,over,       2.326
905967,NCI-H322M,OGN,normal,       0.665
905967,NCI-H322M,OGA_ENST00000419011,under,      -2.898
905967,NCI-H322M,TNIK,normal,       0.376
905967,NCI-H322M,RNF208,normal,       1.621
905967,NCI-H322M,RNASEH2C,normal,       0.694
905967,NCI-H322M,ZNF541,normal,       0.169
905967,NCI-H322M,LMAN2L,normal,       0.313
905967,NCI-H322M,SLC41A2,normal,       0.165
905967,NCI-H322M,PPP1R21,normal,       0.056
905967,NCI-H322M,KLC2,normal,       1.737
905967,NCI-H322M,ZNF391,normal,       1.365
905967,NCI-H322M,PRSS27,over,       2.365
905967,NCI-H322M,KRTAP19-2,normal,       0.246
905967,NCI-H322M,HIRIP3,normal,       0.081
905967,NCI-H322M,ASAP1,normal,       0.875
905967,NCI-H322M,GLYATL2,normal,       0.601
905967,NCI-H322M,STIM1,normal,      -0.602
905967,NCI-H322M,ACP6,normal,       1.680
905967,NCI-H322M,GOLIM4,normal,      -0.992
905967,NCI-H322M,ARNTL2,normal,       1.784
905967,NCI-H322M,AURKAIP1_ENST00000338338,normal,       0.560
905967,NCI-H322M,UPK2,normal,      -0.005
905967,NCI-H322M,BDH1,normal,      -0.391
905967,NCI-H322M,TNFAIP3,normal,      -0.252
905967,NCI-H322M,ZNF620,normal,       0.649
905967,NCI-H322M,CCNB1IP1,normal,      -0.672
905967,NCI-H322M,SEMA3D,normal,       0.520
905967,NCI-H322M,CEL,normal,      -0.903
905967,NCI-H322M,STX5,over,       3.641
905967,NCI-H322M,UBE3B,normal,      -0.685
905967,NCI-H322M,BTBD6,normal,       0.349
905967,NCI-H322M,ISL1,normal,       0.633
905967,NCI-H322M,DDX24,normal,      -0.019
905967,NCI-H322M,ZNF347,normal,       0.455
905967,NCI-H322M,ISX,normal,       0.068
905967,NCI-H322M,LHX2,normal,      -0.072
905967,NCI-H322M,C9orf170,normal,       0.700
905967,NCI-H322M,PBX4,normal,       0.013
905967,NCI-H322M,SMCO2,normal,       0.611
905967,NCI-H322M,IGSF3,normal,       0.231
905967,NCI-H322M,NLE1,normal,      -1.649
905967,NCI-H322M,GHITM,normal,      -0.286
905967,NCI-H322M,SPPL3,normal,       0.179
905967,NCI-H322M,CRYBB3,normal,       0.048
905967,NCI-H322M,PPARA,normal,      -0.195
905967,NCI-H322M,P2RX7,normal,      -0.724
905967,NCI-H322M,TNFAIP2,normal,       1.031
905967,NCI-H322M,OR52N4,normal,       0.744
905967,NCI-H322M,ST6GALNAC3,normal,      -0.565
905967,NCI-H322M,VPREB3,normal,       0.479
905967,NCI-H322M,LRRC49,normal,      -0.193
